,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,enrollment_date,G1_exam_date,G2_exam_date,G3_exam_date
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0.0,10,8.0,9,2008-09-09,2008-12-05,2009-02-28,2009-06-03
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,,yes,yes,yes,yes,no,5,2,2,1,1,4,4.0,10,12.0,12,2008-09-13,2008-12-05,2009-03-06,2009-06-12
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2.0,14,14.0,14,2008-09-14,2008-12-11,2009-03-05,2009-06-11
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2.0,10,10.0,11,2008-09-04,2008-11-25,2009-02-28,2009-05-27
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,14,16.0,16,2008-09-04,2008-12-06,2009-03-07,2009-05-25
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4.0,14,14.0,14,2008-09-01,2008-12-02,2009-02-26,2009-05-30
16,GP,F,16,U,GT3,T,4,4,,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6.0,13,14.0,14,2008-09-02,2008-11-22,2009-03-01,2009-05-24
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4.0,8,10.0,10,2008-09-08,2008-12-08,2009-03-04,2009-05-29
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16.0,6,5.0,5,2008-09-08,2008-11-28,2009-02-25,2009-06-08
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4.0,8,10.0,10,2008-09-06,2008-12-05,2009-02-24,2009-05-31
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,13,14.0,15,2008-09-05,2008-11-25,2009-02-26,2009-05-23
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0.0,12,15.0,15,2008-09-12,2008-12-08,2009-03-04,2009-06-06
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2.0,15,15.0,16,2008-09-07,2008-12-05,2009-03-08,2009-05-31
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0,13,13.0,12,2008-09-12,2008-12-11,2009-03-13,2009-06-11
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,10,9.0,8,2008-09-14,2008-12-09,2009-03-15,2009-06-11
25,GP,F,16,U,GT3,T,2,2,,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14.0,6,9.0,8,2008-09-05,2008-12-07,2009-03-03,2009-05-25
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2.0,12,12.0,11,2008-09-03,2008-12-03,2009-02-28,2009-05-23
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4.0,15,16.0,15,2008-09-14,2008-12-06,2009-03-12,2009-06-10
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4.0,11,11.0,11,2008-09-09,2008-12-08,2009-03-04,2009-05-27
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,,yes,yes,yes,yes,yes,4,4,5,5,5,5,16.0,10,12.0,11,2008-09-05,2008-12-04,2009-03-04,2009-05-27
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0.0,9,11.0,12,2008-09-09,2008-12-03,2009-03-09,2009-05-29
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0,17,16.0,17,2008-09-08,2008-12-08,2009-03-08,2009-05-26
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,,17,16.0,16,2008-09-13,2008-12-15,2009-03-11,2009-06-13
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,,8,10.0,12,2008-09-04,2008-12-05,2009-02-21,2009-05-23
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,,no,no,yes,yes,no,5,4,3,1,1,5,0.0,12,14.0,15,2008-09-14,2008-12-14,2009-03-13,2009-06-01
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0.0,8,7.0,6,2008-09-14,2008-12-12,2009-03-08,2009-06-14
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,,15,,18,2008-09-03,2008-11-26,2009-03-03,2009-05-23
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7.0,15,16.0,15,2008-09-03,2008-12-03,2009-02-28,2009-06-02
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,12,12.0,11,2008-09-08,2008-12-02,2009-03-10,2009-05-26
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8.0,14,13.0,13,2008-09-01,2008-11-27,2009-02-23,2009-05-21
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25.0,7,10.0,11,2008-09-05,2008-11-28,2009-03-07,2009-05-24
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8.0,12,12.0,12,2008-09-07,2008-11-30,2009-03-08,2009-06-04
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,,yes,yes,yes,yes,no,4,3,3,1,1,5,2.0,19,18.0,18,2008-09-14,2008-12-05,2009-03-07,2009-06-10
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,8,8.0,11,2008-09-14,2008-12-17,2009-03-10,2009-06-08
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14.0,10,10.0,9,2008-09-03,2008-11-24,2009-02-27,2009-05-24
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8.0,8,8.0,6,2008-09-13,2008-12-03,2009-03-13,2009-06-01
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12.0,11,12.0,11,2008-09-02,2008-12-05,2009-03-01,2009-05-28
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4.0,19,19.0,20,2008-09-11,2008-12-08,2009-03-12,2009-06-01
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2.0,15,15.0,14,2008-09-12,2008-12-07,2009-03-06,2009-06-07
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2.0,7,7.0,7,2008-09-13,2008-12-13,2009-03-09,2009-06-10
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,,12,13.0,13,2008-09-04,2008-11-28,2009-02-27,2009-06-03
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,,no,yes,yes,yes,no,4,3,3,1,1,5,2.0,11,13.0,13,2008-09-13,2008-12-03,2009-03-15,2009-06-07
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6.0,11,11.0,10,2008-09-02,2008-12-01,2009-02-23,2009-05-20
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,8,10.0,11,2008-09-08,2008-11-29,2009-03-05,2009-05-30
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6.0,10,,13,2008-09-07,2008-12-04,2009-02-25,2009-06-06
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8.0,8,9.0,10,2008-09-05,2008-12-08,2009-03-06,2009-05-30
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,14,15.0,15,2008-09-01,2008-12-04,2009-02-23,2009-05-28
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4.0,14,15.0,15,2008-09-11,2008-12-05,2009-03-05,2009-06-04
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,9,10.0,9,2008-09-05,2008-12-05,2009-03-02,2009-05-25
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2.0,15,16.0,16,2008-09-10,2008-12-08,2009-03-06,2009-06-10
60,GP,F,16,R,GT3,T,4,4,,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6.0,10,11.0,11,2008-09-06,2008-12-02,2009-03-07,2009-06-04
61,GP,F,16,U,GT3,T,1,1,,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6.0,10,8.0,11,2008-09-06,2008-11-27,2009-03-02,2009-06-07
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4.0,8,10.0,9,2008-09-13,2008-12-07,2009-03-09,2009-06-12
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2.0,10,9.0,9,2008-09-02,2008-11-30,2009-02-20,2009-05-24
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,10,10.0,10,2008-09-11,2008-12-14,2009-02-28,2009-06-01
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2.0,16,15.0,15,2008-09-11,2008-11-30,2009-03-05,2009-06-01
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4.0,13,13.0,12,2008-09-06,2008-12-05,2009-03-09,2009-06-06
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4.0,7,7.0,6,2008-09-04,2008-12-05,2009-03-06,2009-05-30
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2.0,8,9.0,8,2008-09-01,2008-12-04,2009-02-27,2009-05-25
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12.0,16,16.0,16,2008-09-14,2008-12-09,2009-03-12,2009-06-15
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0.0,13,15.0,15,2008-09-14,2008-12-04,2009-03-08,2009-06-10
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,10,10.0,10,2008-09-04,2008-11-27,2009-02-23,2009-06-04
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2.0,8,6.0,5,2008-09-01,2008-12-02,2009-02-18,2009-06-02
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2.0,12,12.0,14,2008-09-02,2008-12-04,2009-02-24,2009-05-21
74,GP,F,16,U,GT3,T,3,3,,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54.0,11,12.0,11,2008-09-01,2008-11-29,2009-02-22,2009-05-24
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6.0,9,9.0,10,2008-09-12,2008-12-02,2009-03-03,2009-06-10
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8.0,11,11.0,10,2008-09-13,2008-12-03,2009-03-05,2009-06-12
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,,11,11.0,11,2008-09-03,2008-11-29,2009-02-20,2009-05-23
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2.0,8,,10,2008-09-11,2008-12-08,2009-03-09,2009-06-02
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12.0,5,5.0,5,2008-09-03,2008-11-22,2009-03-05,2009-05-29
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2.0,10,12.0,12,2008-09-06,2008-12-05,2009-03-05,2009-06-04
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4.0,11,10.0,11,2008-09-09,2008-12-06,2009-03-04,2009-05-28
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10.0,7,6.0,6,2008-09-11,2008-11-30,2009-03-06,2009-06-07
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4.0,15,15.0,15,2008-09-13,2008-12-03,2009-03-06,2009-06-04
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,,yes,no,yes,yes,no,4,3,2,2,3,4,2.0,9,10.0,10,2008-09-01,2008-11-26,2009-02-20,2009-05-22
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6.0,7,9.0,8,2008-09-03,2008-12-02,2009-02-28,2009-05-28
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4.0,8,7.0,6,2008-09-04,2008-12-05,2009-03-01,2009-05-28
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4.0,13,14.0,14,2008-09-05,2008-11-30,2009-02-22,2009-06-01
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12.0,11,10.0,10,2008-09-14,2008-12-07,2009-03-09,2009-06-05
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18.0,8,6.0,7,2008-09-11,2008-12-14,2009-03-04,2009-06-10
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,,no,yes,yes,yes,yes,4,3,3,1,3,4,0.0,7,7.0,8,2008-09-05,2008-11-30,2009-02-24,2009-05-24
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4.0,16,17.0,18,2008-09-14,2008-12-07,2009-03-13,2009-06-13
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4.0,7,6.0,6,2008-09-07,2008-12-02,2009-03-03,2009-05-25
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0.0,11,,10,2008-09-08,2008-11-27,2009-03-06,2009-06-06
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6.0,11,13.0,14,2008-09-07,2008-11-30,2009-03-06,2009-05-30
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2.0,7,10.0,10,2008-09-03,2008-11-29,2009-03-06,2009-05-26
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2.0,11,15.0,15,2008-09-14,2008-12-16,2009-03-15,2009-06-01
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2.0,8,9.0,10,2008-09-01,2008-12-01,2009-02-27,2009-05-29
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6.0,11,14.0,14,2008-09-03,2008-12-03,2009-03-05,2009-05-23
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0.0,7,9.0,8,2008-09-04,2008-12-01,2009-02-28,2009-05-31
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14.0,7,7.0,5,2008-09-04,2008-11-24,2009-03-07,2009-06-01
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0.0,16,17.0,17,2008-09-02,2008-11-26,2009-03-02,2009-06-01
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4.0,10,13.0,14,2008-09-01,2008-12-04,2009-02-27,2009-05-29
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26.0,7,6.0,6,2008-09-10,2008-11-29,2009-03-12,2009-06-01
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0.0,16,18.0,18,2008-09-14,2008-12-16,2009-03-10,2009-06-12
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10.0,10,11.0,11,2008-09-02,2008-12-01,2009-03-01,2009-06-01
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8.0,7,8.0,8,2008-09-05,2008-11-28,2009-02-26,2009-05-27
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2.0,16,18.0,18,2008-09-08,2008-12-08,2009-03-11,2009-05-27
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,,yes,yes,yes,yes,yes,1,3,5,3,5,1,6.0,10,13.0,13,2008-09-13,2008-12-14,2009-03-11,2009-06-13
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4.0,14,15.0,16,2008-09-10,2008-11-29,2009-03-10,2009-05-30
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6.0,18,19.0,19,2008-09-11,2008-12-01,2009-03-06,2009-06-06
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0.0,7,10.0,10,2008-09-09,2008-12-07,2009-03-11,2009-05-30
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6.0,10,,13,2008-09-06,2008-12-09,2009-02-24,2009-05-25
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10.0,18,19.0,19,2008-09-03,2008-11-22,2009-02-21,2009-06-01
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8.0,9,9.0,9,2008-09-13,2008-12-11,2009-03-09,2009-06-02
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2.0,15,15.0,16,2008-09-12,2008-12-03,2009-03-11,2009-06-09
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2.0,11,13.0,14,2008-09-01,2008-11-29,2009-03-02,2009-05-29
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,,yes,yes,yes,yes,no,5,4,2,1,1,5,0.0,13,14.0,13,2008-09-11,2008-12-09,2009-03-06,2009-05-29
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20.0,9,7.0,8,2008-09-02,2008-11-22,2009-02-28,2009-05-22
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6.0,14,,13,2008-09-11,2008-12-10,2009-03-08,2009-06-09
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2.0,16,15.0,15,2008-09-12,2008-12-14,2009-03-15,2009-06-06
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6.0,16,14.0,15,2008-09-02,2008-12-03,2009-02-28,2009-05-21
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2.0,13,13.0,13,2008-09-07,2008-11-26,2009-03-02,2009-06-08
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18.0,14,11.0,13,2008-09-02,2008-11-24,2009-03-05,2009-05-23
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0.0,8,7.0,8,2008-09-08,2008-11-30,2009-02-26,2009-05-26
