,student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,enrollment_date,G1_exam_date,G2_exam_date,G3_exam_date
23,S252,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0.0,13,13.0,12,2008-09-12,2008-12-11,2009-03-13,2009-06-11
24,S004,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,10,9.0,8,2008-09-14,2008-12-09,2009-03-15,2009-06-11
25,S057,GP,F,16,U,GT3,T,2,2,,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14.0,6,9.0,8,2008-09-05,2008-12-07,2009-03-03,2009-05-25
26,S180,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2.0,12,12.0,11,2008-09-03,2008-12-03,2009-02-28,2009-05-23
27,S189,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4.0,15,16.0,15,2008-09-14,2008-12-06,2009-03-12,2009-06-10
28,S245,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4.0,11,11.0,11,2008-09-09,2008-12-08,2009-03-04,2009-05-27
29,S244,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,,yes,yes,yes,yes,yes,4,4,5,5,5,5,16.0,10,12.0,11,2008-09-05,2008-12-04,2009-03-04,2009-05-27
30,S197,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0.0,9,11.0,12,2008-09-09,2008-12-03,2009-03-09,2009-05-29
31,S200,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0.0,17,16.0,17,2008-09-08,2008-12-08,2009-03-08,2009-05-26
32,S175,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,,17,16.0,16,2008-09-13,2008-12-15,2009-03-11,2009-06-13
33,S210,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,,8,10.0,12,2008-09-04,2008-12-05,2009-02-21,2009-05-23
34,S233,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,,no,no,yes,yes,no,5,4,3,1,1,5,0.0,12,14.0,15,2008-09-14,2008-12-14,2009-03-13,2009-06-01
35,S019,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0.0,8,7.0,6,2008-09-14,2008-12-12,2009-03-08,2009-06-14
36,S212,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,,15,,18,2008-09-03,2008-11-26,2009-03-03,2009-05-23
37,S215,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7.0,15,16.0,15,2008-09-03,2008-12-03,2009-02-28,2009-06-02
38,S006,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,12,12.0,11,2008-09-08,2008-12-02,2009-03-10,2009-05-26
39,S003,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8.0,14,13.0,13,2008-09-01,2008-11-27,2009-02-23,2009-05-21
40,S085,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25.0,7,10.0,11,2008-09-05,2008-11-28,2009-03-07,2009-05-24
41,S214,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8.0,12,12.0,12,2008-09-07,2008-11-30,2009-03-08,2009-06-04
42,S201,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,,yes,yes,yes,yes,no,4,3,3,1,1,5,2.0,19,18.0,18,2008-09-14,2008-12-05,2009-03-07,2009-06-10
43,S181,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0.0,8,8.0,11,2008-09-14,2008-12-17,2009-03-10,2009-06-08
44,S084,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14.0,10,10.0,9,2008-09-03,2008-11-24,2009-02-27,2009-05-24
45,S034,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8.0,8,8.0,6,2008-09-13,2008-12-03,2009-03-13,2009-06-01
46,S080,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12.0,11,12.0,11,2008-09-02,2008-12-05,2009-03-01,2009-05-28
47,S238,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4.0,19,19.0,20,2008-09-11,2008-12-08,2009-03-12,2009-06-01
48,S191,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2.0,15,15.0,14,2008-09-12,2008-12-07,2009-03-06,2009-06-07
49,S028,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2.0,7,7.0,7,2008-09-13,2008-12-13,2009-03-09,2009-06-10
50,S086,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,,12,13.0,13,2008-09-04,2008-11-28,2009-02-27,2009-06-03
51,S037,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,,no,yes,yes,yes,no,4,3,3,1,1,5,2.0,11,13.0,13,2008-09-13,2008-12-03,2009-03-15,2009-06-07
52,S205,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6.0,11,11.0,10,2008-09-02,2008-12-01,2009-02-23,2009-05-20
53,S026,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0.0,8,10.0,11,2008-09-08,2008-11-29,2009-03-05,2009-05-30
54,S032,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6.0,10,,13,2008-09-07,2008-12-04,2009-02-25,2009-06-06
55,S042,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8.0,8,9.0,10,2008-09-05,2008-12-08,2009-03-06,2009-05-30
56,S011,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0.0,14,15.0,15,2008-09-01,2008-12-04,2009-02-23,2009-05-28
57,S202,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4.0,14,15.0,15,2008-09-11,2008-12-05,2009-03-05,2009-06-04
58,S207,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2.0,9,10.0,9,2008-09-05,2008-12-05,2009-03-02,2009-05-25
59,S069,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2.0,15,16.0,16,2008-09-10,2008-12-08,2009-03-06,2009-06-10
60,S041,GP,F,16,R,GT3,T,4,4,,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6.0,10,11.0,11,2008-09-06,2008-12-02,2009-03-07,2009-06-04
61,S048,GP,F,16,U,GT3,T,1,1,,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6.0,10,8.0,11,2008-09-06,2008-11-27,2009-03-02,2009-06-07
62,S082,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4.0,8,10.0,9,2008-09-13,2008-12-07,2009-03-09,2009-06-12
63,S073,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2.0,10,9.0,9,2008-09-02,2008-11-30,2009-02-20,2009-05-24
64,S038,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0.0,10,10.0,10,2008-09-11,2008-12-14,2009-02-28,2009-06-01
65,S090,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2.0,16,15.0,15,2008-09-11,2008-11-30,2009-03-05,2009-06-01
66,S179,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4.0,13,13.0,12,2008-09-06,2008-12-05,2009-03-09,2009-06-06
67,S061,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4.0,7,7.0,6,2008-09-04,2008-12-05,2009-03-06,2009-05-30
68,S008,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2.0,8,9.0,8,2008-09-01,2008-12-04,2009-02-27,2009-05-25
69,S009,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12.0,16,16.0,16,2008-09-14,2008-12-09,2009-03-12,2009-06-15
70,S231,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0.0,13,15.0,15,2008-09-14,2008-12-04,2009-03-08,2009-06-10
71,S190,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0.0,10,10.0,10,2008-09-04,2008-11-27,2009-02-23,2009-06-04
72,S002,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2.0,8,6.0,5,2008-09-01,2008-12-02,2009-02-18,2009-06-02
73,S230,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2.0,12,12.0,14,2008-09-02,2008-12-04,2009-02-24,2009-05-21
74,S066,GP,F,16,U,GT3,T,3,3,,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54.0,11,12.0,11,2008-09-01,2008-11-29,2009-02-22,2009-05-24
75,S193,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6.0,9,9.0,10,2008-09-12,2008-12-02,2009-03-03,2009-06-10
76,S188,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8.0,11,11.0,10,2008-09-13,2008-12-03,2009-03-05,2009-06-12
77,S055,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,,11,11.0,11,2008-09-03,2008-11-29,2009-02-20,2009-05-23
78,S359,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2.0,8,,10,2008-09-11,2008-12-08,2009-03-09,2009-06-02
79,S067,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12.0,5,5.0,5,2008-09-03,2008-11-22,2009-03-05,2009-05-29
80,S184,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2.0,10,12.0,12,2008-09-06,2008-12-05,2009-03-05,2009-06-04
81,S183,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4.0,11,10.0,11,2008-09-09,2008-12-06,2009-03-04,2009-05-28
82,S036,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10.0,7,6.0,6,2008-09-11,2008-11-30,2009-03-06,2009-06-07
83,S209,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4.0,15,15.0,15,2008-09-13,2008-12-03,2009-03-06,2009-06-04
84,S013,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,,yes,no,yes,yes,no,4,3,2,2,3,4,2.0,9,10.0,10,2008-09-01,2008-11-26,2009-02-20,2009-05-22
85,S027,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6.0,7,9.0,8,2008-09-03,2008-12-02,2009-02-28,2009-05-28
86,S083,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4.0,8,7.0,6,2008-09-04,2008-12-05,2009-03-01,2009-05-28
87,S023,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4.0,13,14.0,14,2008-09-05,2008-11-30,2009-02-22,2009-06-01
88,S228,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12.0,11,10.0,10,2008-09-14,2008-12-07,2009-03-09,2009-06-05
89,S246,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18.0,8,6.0,7,2008-09-11,2008-12-14,2009-03-04,2009-06-10
90,S064,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,,no,yes,yes,yes,yes,4,3,3,1,3,4,0.0,7,7.0,8,2008-09-05,2008-11-30,2009-02-24,2009-05-24
91,S024,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4.0,16,17.0,18,2008-09-14,2008-12-07,2009-03-13,2009-06-13
92,S088,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4.0,7,6.0,6,2008-09-07,2008-12-02,2009-03-03,2009-05-25
93,S070,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0.0,11,,10,2008-09-08,2008-11-27,2009-03-06,2009-06-06
94,S208,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6.0,11,13.0,14,2008-09-07,2008-11-30,2009-03-06,2009-05-30
95,S001,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2.0,7,10.0,10,2008-09-03,2008-11-29,2009-03-06,2009-05-26
96,S220,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2.0,11,15.0,15,2008-09-14,2008-12-16,2009-03-15,2009-06-01
97,S050,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2.0,8,9.0,10,2008-09-01,2008-12-01,2009-02-27,2009-05-29
98,S077,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6.0,11,14.0,14,2008-09-03,2008-12-03,2009-03-05,2009-05-23
99,S072,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0.0,7,9.0,8,2008-09-04,2008-12-01,2009-02-28,2009-05-31
100,S242,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14.0,7,7.0,5,2008-09-04,2008-11-24,2009-03-07,2009-06-01
101,S243,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0.0,16,17.0,17,2008-09-02,2008-11-26,2009-03-02,2009-06-01
102,S199,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4.0,10,13.0,14,2008-09-01,2008-12-04,2009-02-27,2009-05-29
103,S021,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26.0,7,6.0,6,2008-09-10,2008-11-29,2009-03-12,2009-06-01
104,S178,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0.0,16,18.0,18,2008-09-14,2008-12-16,2009-03-10,2009-06-12
105,S010,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10.0,10,11.0,11,2008-09-02,2008-12-01,2009-03-01,2009-06-01
106,S018,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8.0,7,8.0,8,2008-09-05,2008-11-28,2009-02-26,2009-05-27
107,S360,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2.0,16,18.0,18,2008-09-08,2008-12-08,2009-03-11,2009-05-27
108,S176,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,,yes,yes,yes,yes,yes,1,3,5,3,5,1,6.0,10,13.0,13,2008-09-13,2008-12-14,2009-03-11,2009-06-13
109,S091,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4.0,14,15.0,16,2008-09-10,2008-11-29,2009-03-10,2009-05-30
110,S206,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6.0,18,19.0,19,2008-09-11,2008-12-01,2009-03-06,2009-06-06
111,S040,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0.0,7,10.0,10,2008-09-09,2008-12-07,2009-03-11,2009-05-30
112,S052,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6.0,10,,13,2008-09-06,2008-12-09,2009-02-24,2009-05-25
113,S211,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10.0,18,19.0,19,2008-09-03,2008-11-22,2009-02-21,2009-06-01
114,S172,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8.0,9,9.0,9,2008-09-13,2008-12-11,2009-03-09,2009-06-02
115,S361,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2.0,15,15.0,16,2008-09-12,2008-12-03,2009-03-11,2009-06-09
116,S198,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2.0,11,13.0,14,2008-09-01,2008-11-29,2009-03-02,2009-05-29
117,S236,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,,yes,yes,yes,yes,no,5,4,2,1,1,5,0.0,13,14.0,13,2008-09-11,2008-12-09,2009-03-06,2009-05-29
118,S260,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20.0,9,7.0,8,2008-09-02,2008-11-22,2009-02-28,2009-05-22
119,S186,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6.0,14,,13,2008-09-11,2008-12-10,2009-03-08,2009-06-09
120,S016,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2.0,16,15.0,15,2008-09-12,2008-12-14,2009-03-15,2009-06-06
